交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2018/10/26,TXO,201811  ,10000.0000,賣權,510,520,435,435,41,-,-,440,500,635,18.5,,盤後,
2018/10/26,TXO,201811  ,10100.0000,買權,30,31,14,18.5,8860,18.5,12336,18.5,19,855,14,,一般,
2018/10/26,TXO,201811  ,10100.0000,買權,25.5,35,25,31,1800,-,-,31,32.5,855,20,,盤後,
2018/10/26,TXO,201811  ,10100.0000,賣權,595,765,585,680,133,695,1927,690,725,765,22,,一般,
2018/10/26,TXO,201811  ,10100.0000,賣權,595,600,560,560,29,-,-,500,595,710,22,,盤後,
2018/10/26,TXO,201811  ,10200.0000,買權,18,19,9.1,12.5,7238,12.5,14392,12,12.5,775,9.1,,一般,
2018/10/26,TXO,201811  ,10200.0000,買權,15,22,15,19.5,1765,-,-,19.5,21,775,12.5,,盤後,
2018/10/26,TXO,201811  ,10200.0000,賣權,720,855,690,765,53,790,1530,745,845,855,27,,一般,
2018/10/26,TXO,201811  ,10200.0000,賣權,685,685,610,610,3,-,-,530,1420,785,27,,盤後,
2018/10/26,TXO,201811  ,10300.0000,買權,13,13,5.7,8.1,7200,8.1,13837,8,8.2,710,5.7,,一般,
2018/10/26,TXO,201811  ,10300.0000,買權,11,14.5,10,13,936,-,-,12,13,710,8,,盤後,
2018/10/26,TXO,201811  ,10300.0000,賣權,790,940,790,870,68,885,3461,870,890,940,32,,一般,
2018/10/26,TXO,201811  ,10300.0000,賣權,780,790,780,790,4,-,-,510,785,900,32,,盤後,
2018/10/26,TXO,201811  ,10400.0000,買權,8.7,8.7,4.1,6.2,3120,6.2,12181,5.3,6.2,640,4.1,,一般,
2018/10/26,TXO,201811  ,10400.0000,買權,7.2,10.5,7,10,846,-,-,9.2,10,640,5,,盤後,
2018/10/26,TXO,201811  ,10400.0000,賣權,865,1030,865,960,48,980,1868,810,1000,1030,40,,一般,
2018/10/26,TXO,201811  ,10400.0000,賣權,875,890,870,890,4,-,-,750,1660,960,40,,盤後,
2018/10/26,TXO,201811  ,10500.0000,買權,5.4,5.5,3.4,5,2420,5,12269,4.8,5,570,3.4,,一般,
2018/10/26,TXO,201811  ,10500.0000,買權,5.6,7.5,5.1,7.2,426,-,-,7,7.2,570,4.3,,盤後,
2018/10/26,TXO,201811  ,10500.0000,賣權,970,1150,970,1110,19,1080,5191,1030,1130,1280,49.5,,一般,
2018/10/26,TXO,201811  ,10500.0000,賣權,975,990,950,950,10,-,-,705,1500,1280,49.5,,盤後,
2018/10/26,TXO,201811  ,10600.0000,買權,4.8,4.8,3,3.7,1501,3.7,9591,3.3,4.1,510,3,,一般,
2018/10/26,TXO,201811  ,10600.0000,買權,4.3,5.5,4.1,4.8,335,-,-,4.6,6.2,510,3.5,,盤後,
2018/10/26,TXO,201811  ,10600.0000,賣權,1080,1230,1080,1160,5,1180,1523,1130,1190,1230,65,,一般,
2018/10/26,TXO,201811  ,10600.0000,賣權,1090,1090,1000,1000,6,-,-,815,-,1150,65,,盤後,
2018/10/26,TXO,201811  ,10700.0000,買權,3.4,3.5,2.5,3.3,852,3.3,5790,2.8,3.6,440,2.5,,一般,
2018/10/26,TXO,201811  ,10700.0000,買權,3.9,4.7,3.9,4,50,-,-,4.1,6.7,440,3,,盤後,
2018/10/26,TXO,201811  ,10700.0000,賣權,1170,1330,1170,1310,4,1280,1321,1260,1330,1330,84,,一般,
2018/10/26,TXO,201811  ,10700.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,10800.0000,買權,2.6,3.2,2.1,2.6,4150,2.6,13672,2.6,2.7,421,2.1,,一般,
2018/10/26,TXO,201811  ,10800.0000,買權,3.6,4.4,2.3,4.2,329,-,-,3,4.2,421,2.3,,盤後,
2018/10/26,TXO,201811  ,10800.0000,賣權,1260,1430,1260,1410,24,1380,1629,1330,1430,1430,109,,一般,
2018/10/26,TXO,201811  ,10800.0000,賣權,1220,1220,1220,1220,1,-,-,1020,2000,1320,109,,盤後,
2018/10/26,TXO,201811  ,10900.0000,買權,2.4,2.8,2,2.6,158,2.6,4996,2.3,2.5,295,2,,一般,
2018/10/26,TXO,201811  ,10900.0000,買權,3,3.1,2.8,2.8,12,-,-,2.5,3.3,295,2.4,,盤後,
2018/10/26,TXO,201811  ,10900.0000,賣權,-,-,-,-,0,1480,272,-,-,-,-,,一般,
2018/10/26,TXO,201811  ,10900.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,11000.0000,買權,2.2,2.5,1.9,2,493,2,6158,2,2.1,283,1.9,,一般,
2018/10/26,TXO,201811  ,11000.0000,買權,2.9,3.5,2.7,3.3,20,-,-,1.6,3.1,283,1.9,,盤後,
2018/10/26,TXO,201811  ,11000.0000,賣權,-,-,-,-,0,1580,190,-,-,-,-,,一般,
2018/10/26,TXO,201811  ,11000.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,11100.0000,買權,1.9,2.3,1.9,2,329,2,2608,1.8,2,227,1.8,,一般,
